Output/8914-9030-8914Outage2027ModifiedCIM5.out
SEC 2022 PEAK BASE CASE
                    140            141            142      
        Time(s) 18916 GHAZAL S 179151 8915 LV 179221 8922 LV
                            VC      -1 STCM I      -1 STCM I
       0.396652        1.30174              1        0.54911
       0.397485        1.30014              1       0.545418
       0.398318        1.29862              1       0.541965
       0.399152        1.29716              1       0.538752
       0.399985        1.29578              1       0.535779
       0.400818        1.29446              1       0.533048
       0.401652        1.29321              1       0.530559
       0.402485        1.29202              1       0.528311
       0.403318        1.29091              1       0.526305
       0.404152        1.28987              1       0.524539
       0.404985        1.28889              1       0.523013
       0.405818        1.28799              1       0.521725
       0.406651        1.28715              1       0.520675
       0.407485        1.28639              1        0.51986
       0.408318        1.28569              1       0.519278
       0.409151        1.28506              1       0.518928
       0.409985         1.2845              1       0.518806
       0.410818          1.284              1        0.51891
       0.411651        1.28357              1       0.519238
       0.412485        1.28321              1       0.519785
       0.413318        1.28292              1       0.520549
       0.414151        1.28269              1       0.521526
       0.414985        1.28252              1       0.522712
       0.415818        1.28242              1       0.524103
       0.416651        1.28238              1       0.525696
       0.417484        1.28241              1       0.527485
       0.418318        1.28249              1       0.529467
       0.419151        1.28264              1       0.531636
       0.419984        1.28284              1       0.533989
       0.420818         1.2831              1       0.536519
       0.421651        1.28342              1       0.539223
       0.422484         1.2838              1       0.542094
       0.423318        1.28423              1       0.545128
       0.424151        1.28472              1       0.548319
       0.424984        1.28525              1       0.551662
       0.425817        1.28584              1       0.555151
       0.426651        1.28648              1        0.55878
       0.427484        1.28717              1       0.562544
       0.428317        1.28791              1       0.566437
       0.429151        1.28869              1       0.570453
       0.429984        1.28952              1       0.574586
       0.430817        1.29039              1        0.57883
       0.431651         1.2913              1       0.583179
       0.432484        1.29226              1       0.587627
       0.433317        1.29325              1       0.592168
        0.43415        1.29428              1       0.596796
       0.434984        1.29535              1       0.601505
       0.435817        1.29645              1       0.606289
        0.43665        1.29759              1       0.611141
       0.437484        1.29876              1       0.616056
       0.438317        1.29996              1       0.621027
        0.43915        1.30118              1       0.626049
       0.439984        1.30244              1       0.631116
       0.440817        1.30372              1       0.636221
        0.44165        1.30503              1       0.641358
       0.442484        1.30636              1       0.646522
       0.443317        1.30771              1       0.651708
        0.44415        1.30909              1       0.656908
       0.444983        1.31048              1       0.662118
       0.445817        1.31188              1       0.667331
        0.44665        1.31331              1       0.672543
       0.447483        1.31475              1       0.677747
       0.448317         1.3162              1       0.682939
        0.44915        1.31766              1       0.688112
       0.449983        1.31913              1       0.693263
       0.450817        1.32062              1       0.698385
        0.45165         1.3221              1       0.703473
       0.452483         1.3236              1       0.708524
       0.453316         1.3251              1       0.713532
        0.45415         1.3266              1       0.718491
       0.454983         1.3281              1       0.723398
       0.455816        1.32961              1       0.728249
        0.45665        1.33111              1       0.733037
       0.457483        1.33261              1        0.73776
       0.458316        1.33411              1       0.742414
        0.45915         1.3356              1       0.746993
       0.459983        1.33709              1       0.751495
       0.460816        1.33857              1       0.755915
       0.461649        1.34004              1        0.76025
       0.462483         1.3415              1       0.764495
       0.463316        1.34295              1        0.76865
       0.464149        1.34439              1       0.772708
       0.464983        1.34581              1       0.776668
       0.465816        1.34723              1       0.780526
       0.466649        1.34862              1        0.78428
       0.467483           1.35              1       0.787926
       0.468316        1.35137              1       0.791463
       0.469149        1.35271              1       0.794888
       0.469983        1.35404              1       0.798198
       0.470816        1.35535              1       0.801391
       0.471649        1.35663              1       0.804466
       0.472482         1.3579              1       0.807419
       0.473316        1.35914              1        0.81025
       0.474149        1.36036              1       0.812957
       0.474982        1.36155              1       0.815539
       0.475816        1.36272              1       0.817993
       0.476649        1.36387              1        0.82032
       0.477482        1.36498              1       0.822518
       0.478316        1.36608              1       0.824585
       0.479149        1.36714              1       0.826522
       0.479982        1.36818              1       0.828327
       0.480815        1.36919              1           0.83
       0.481649        1.37017              1        0.83154
       0.482482        1.37112              1       0.832946
       0.483315        1.37204              1       0.834219
       0.484149        1.37292              1       0.835358
       0.484982        1.37378              1       0.836364
       0.485815        1.37461              1       0.837236
       0.486649         1.3754              1       0.837975
       0.487482        1.37617              1       0.838582
       0.488315         1.3769              1       0.839055
       0.489148         1.3776              1       0.839398
       0.489982        1.37826              1       0.839609
       0.490815        1.37889              1       0.839689
       0.491648        1.37949              1       0.839641
       0.492482        1.38006              1       0.839464
       0.493315        1.38059              1       0.839161
       0.494148        1.38109              1       0.838731
       0.494982        1.38155              1       0.838176
       0.495815        1.38199              1       0.837499
       0.496648        1.38238              1       0.836699
       0.497481        1.38274              1        0.83578
       0.498315        1.38307              1       0.834742
       0.499148        1.38337              1       0.833587
       0.499981        1.38363              1       0.832317
       0.500815        1.38386              1       0.830935
       0.501648        1.38405              1       0.829441
       0.502481        1.38421              1       0.827838
       0.503314        1.38434              1       0.826128
       0.504148        1.38443              1       0.824314
       0.504981         1.3845              1       0.822397
       0.505814        1.38452              1       0.820379
       0.506648        1.38452              1       0.818264
       0.507481        1.38448              1       0.816053
       0.508314        1.38442              1       0.813749
       0.509147        1.38432              1       0.811354
       0.509981        1.38418              1       0.808872
       0.510814        1.38402              1       0.806303
       0.511647        1.38383              1       0.803652
        0.51248        1.38361              1        0.80092
       0.513314        1.38335              1       0.798111
       0.514147        1.38307              1       0.795227
        0.51498        1.38276              1        0.79227
       0.515814        1.38242              1       0.789244
       0.516647        1.38205              1       0.786152
        0.51748        1.38165              1       0.782995
       0.518313        1.38123              1       0.779777
       0.519147        1.38078              1       0.776501
        0.51998         1.3803              1       0.773169
       0.520813        1.37979              1       0.769784
       0.521646        1.37926              1        0.76635
        0.52248        1.37871              1       0.762868
       0.523313        1.37813              1       0.759343
       0.524146        1.37753              1       0.755776
        0.52498         1.3769              1        0.75217
       0.525813        1.37626              1       0.748529
       0.526646        1.37559              1       0.744855
       0.527479        1.37489              1       0.741151
       0.528313        1.37418              1       0.737419
       0.529146        1.37345              1       0.733663
       0.529979        1.37269              1       0.729885
       0.530813        1.37192              1       0.726088
       0.531646        1.37113              1       0.722275
       0.532479        1.37032              1       0.718448
       0.533312        1.36949              1        0.71461
       0.534146        1.36864              1       0.710764
       0.534979        1.36778              1       0.706912
       0.535812        1.36691              1       0.703056
       0.536645        1.36601              1       0.699201
       0.537479        1.36511              1       0.695347
       0.538312        1.36419              1       0.691497
       0.539145        1.36325              1       0.687654
       0.539979        1.36231              1        0.68382
       0.540812        1.36135              1       0.679998
       0.541645        1.36038              1        0.67619
       0.542478         1.3594              1       0.672398
       0.543312        1.35841              1       0.668625
       0.544145         1.3574              1       0.664871
       0.544978        1.35639              1       0.661141
       0.545811        1.35537              1       0.657436
       0.546645        1.35435              1       0.653757
       0.547478        1.35331              1       0.650107
       0.548311        1.35227              1       0.646489
       0.549145        1.35123              1       0.642902
       0.549978        1.35017              1       0.639351
       0.550811        1.34912              1       0.635836
       0.551644        1.34805              1       0.632359
       0.552478        1.34699              1       0.628922
       0.553311        1.34592              1       0.625527
       0.554144        1.34484              1       0.622174
       0.554977        1.34377              1       0.618867
       0.555811        1.34269              1       0.615605
       0.556644        1.34161              1       0.612391
       0.557477        1.34054              1       0.609226
       0.558311        1.33946              1       0.606111
       0.559144        1.33838              1       0.603048
       0.559977         1.3373              1       0.600038
        0.56081        1.33622              1       0.597082
       0.561644        1.33515              1        0.59418
       0.562477        1.33408              1       0.591335
        0.56331        1.33301              1       0.588548
       0.564143        1.33194              1       0.585818
       0.564977        1.33088              1       0.583147
        0.56581        1.32982              1       0.580536
       0.566643        1.32876              1       0.577986
       0.567477        1.32771              1       0.575497
        0.56831        1.32667              1        0.57307
       0.569143        1.32563              1       0.570706
       0.569976         1.3246              1       0.568405
        0.57081        1.32357              1       0.566168
       0.571643        1.32255              1       0.563995
       0.572476        1.32154              1       0.561886
       0.573309        1.32053              1       0.559843
       0.574143        1.31953              1       0.557866
       0.574976        1.31855              1       0.555954
       0.575809        1.31757              1       0.554107
       0.576643        1.31659              1       0.552327
       0.577476        1.31563              1       0.550613
       0.578309        1.31468              1       0.548966
       0.579142        1.31374              1       0.547385
       0.579976         1.3128              1        0.54587
       0.580809        1.31188              1       0.544421
       0.581642        1.31097              1       0.543039
       0.582475        1.31007              1       0.541723
       0.583309        1.30918              1       0.540473
       0.584142         1.3083              1       0.539288
       0.584975        1.30743              1       0.538169
       0.585809        1.30657              1       0.537115
       0.586642        1.30573              1       0.536126
       0.587475        1.30489              1       0.535201
       0.588308        1.30407              1        0.53434
       0.589142        1.30327              1       0.533543
       0.589975        1.30247              1       0.532809
       0.590808        1.30169              1       0.532137
       0.591641        1.30092              1       0.531528
       0.592475        1.30016              1        0.53098
       0.593308        1.29942              1       0.530492
       0.594141        1.29869              1       0.530065
       0.594975        1.29797              1       0.529698
       0.595808        1.29727              1       0.529389
       0.596641        1.29658              1       0.529139
       0.597474         1.2959              1       0.528946
       0.598308        1.29523              1       0.528809
       0.599141        1.29458              1       0.528728
       0.599974        1.29395              1       0.528702
       0.600807        1.29333              1        0.52873
       0.601641        1.29272              1       0.528811
       0.602474        1.29212              1       0.528945
       0.603307        1.29154              1        0.52913
       0.604141        1.29097              1       0.529365
       0.604974        1.29042              1        0.52965
       0.605807        1.28988              1       0.529983
        0.60664        1.28935              1       0.530364
       0.607474        1.28884              1       0.530791
       0.608307        1.28834              1       0.531264
        0.60914        1.28785              1       0.531781
       0.609973        1.28738              1       0.532341
