Name,Date,Open,High,Low,Close,Volume Traded,Value Traded (SAR),No. of Trades
Tadawul All Share Index (TASI),11-24-2007,-,-,-,9525,370368649,12887354932.75,236381
Tadawul All Share Index (TASI),11-25-2007,-,-,-,9540.55,299155304,10523041594.5,204767
Tadawul All Share Index (TASI),11-26-2007,-,-,-,9465.7,302752493,9578963322.5,184649
Tadawul All Share Index (TASI),11-27-2007,-,-,-,9271.54,235315759,8275319691.5,170869
Tadawul All Share Index (TASI),11-28-2007,-,-,-,9389.71,223758391,7796010820,160445
Tadawul All Share Index (TASI),12-01-2007,-,-,-,9411.08,330011431,8619276837.75,572591
Tadawul All Share Index (TASI),12-02-2007,-,-,-,9433.12,348582100,9909504255.5,264154
Tadawul All Share Index (TASI),12-03-2007,-,-,-,9582.21,414359490,12188747249.5,245673
Tadawul All Share Index (TASI),12-04-2007,-,-,-,9653.98,422212648,13420796657.5,263385
Tadawul All Share Index (TASI),12-05-2007,-,-,-,9757.58,368741313,12486973313.75,261087
Tadawul All Share Index (TASI),12-08-2007,-,-,-,9946.6,448010431,15272620073.25,412820
Tadawul All Share Index (TASI),12-09-2007,-,-,-,9871.76,383529155,12013383864.25,269127
Tadawul All Share Index (TASI),12-10-2007,-,-,-,10136.62,384674840,11653249682.25,340886
Tadawul All Share Index (TASI),12-11-2007,-,-,-,10628.06,529058408,17093837929.5,292042
Tadawul All Share Index (TASI),12-12-2007,-,-,-,10911.94,552819444,18790233777,324664
Tadawul All Share Index (TASI),12-15-2007,-,-,-,10823.76,417947816,13949901085,282735
Tadawul All Share Index (TASI),12-16-2007,-,-,-,10957.43,416072570,13272545199.75,269639
Tadawul All Share Index (TASI),12-17-2007,-,-,-,11254.38,453829392,15246590398.75,295787
Tadawul All Share Index (TASI),12-24-2007,-,-,-,11492.1,519253156,18212200184,298416
Tadawul All Share Index (TASI),12-25-2007,-,-,-,11272.43,394239904,14328055859,268506
Tadawul All Share Index (TASI),12-26-2007,-,-,-,11252.77,286608598,10415541371.25,200478
Tadawul All Share Index (TASI),12-29-2007,-,-,-,11263.61,420963383,15284170549.75,393827
Tadawul All Share Index (TASI),12-30-2007,-,-,-,11093.29,327571117,12979191966,272330
Tadawul All Share Index (TASI),12-31-2007,-,-,-,11038.66,281830762,10432257179,212178
Tadawul All Share Index (TASI),01-01-2008,-,-,-,10717.89,240927954,8289909402.25,189159
Tadawul All Share Index (TASI),01-02-2008,-,-,-,10721.61,353582444,12117480717,242096
Tadawul All Share Index (TASI),01-05-2008,-,-,-,11259.65,464493757,15751698382.75,251065
Tadawul All Share Index (TASI),01-06-2008,-,-,-,11499.4,474702001,17167846267.5,287570
Tadawul All Share Index (TASI),01-07-2008,-,-,-,11500.9,402628922,15800914427,266276
Tadawul All Share Index (TASI),01-08-2008,-,-,-,11436.28,351140524,14252300552.75,278824
Tadawul All Share Index (TASI),01-09-2008,-,-,-,11486.84,364581462,14000307596.75,270440
Tadawul All Share Index (TASI),01-12-2008,-,-,-,11697.01,444486136,16224325079.5,275648
Tadawul All Share Index (TASI),01-13-2008,-,-,-,11566.9,490699950,15796364683.5,260764
Tadawul All Share Index (TASI),01-14-2008,-,-,-,11600.68,410595666,14212844671,229801
Tadawul All Share Index (TASI),01-15-2008,-,-,-,11597.01,511176083,18421876163.25,278229
Tadawul All Share Index (TASI),01-16-2008,-,-,-,11338.64,414942870,14955695429.25,247319
Tadawul All Share Index (TASI),01-19-2008,-,-,-,11291.69,360723753,12475853626.25,219147
Tadawul All Share Index (TASI),01-20-2008,-,-,-,10453.69,433039354,15333485525,279683
Tadawul All Share Index (TASI),01-21-2008,-,-,-,10170.81,510561218,16976142592,291682
Tadawul All Share Index (TASI),01-22-2008,-,-,-,9193.86,300610304,10599862909,179361
Tadawul All Share Index (TASI),01-23-2008,-,-,-,9203.56,558149034,18521045147.25,321442
Tadawul All Share Index (TASI),01-26-2008,-,-,-,9277.16,349320586,11023246290.5,212694
Tadawul All Share Index (TASI),01-27-2008,-,-,-,9621.17,496135611,19689827956.75,754937
Tadawul All Share Index (TASI),01-28-2008,-,-,-,9240.65,493519736,19538999594.5,411109
Tadawul All Share Index (TASI),01-29-2008,-,-,-,9377.72,322733182,12448198171,262396
Tadawul All Share Index (TASI),01-30-2008,-,-,-,9559.87,413460532,15840628466,289033
Tadawul All Share Index (TASI),02-02-2008,-,-,-,9547.87,435573858,16749207736.5,290561
Tadawul All Share Index (TASI),02-03-2008,-,-,-,9565.39,236364053,9417467022,218038
Tadawul All Share Index (TASI),02-04-2008,-,-,-,9657.84,264835976,11878848293.75,374562
Tadawul All Share Index (TASI),02-05-2008,-,-,-,9659.91,282687547,11508716490.5,259072
Tadawul All Share Index (TASI),02-06-2008,-,-,-,9378.75,383585961,14133850002.5,286582
Tadawul All Share Index (TASI),02-09-2008,-,-,-,9054.7,253145933,9221469633.75,362103
Tadawul All Share Index (TASI),02-10-2008,-,-,-,8873.86,315596041,10228591072.75,301334
Tadawul All Share Index (TASI),02-11-2008,-,-,-,8818.43,253084417,8694909452,208612
Tadawul All Share Index (TASI),02-12-2008,-,-,-,9077.19,233837264,7822528728,188489
Tadawul All Share Index (TASI),02-13-2008,-,-,-,9107.06,248710864,8243964963.75,204976
Tadawul All Share Index (TASI),02-16-2008,-,-,-,9387.56,230676324,7876756425.25,216245
Tadawul All Share Index (TASI),02-17-2008,-,-,-,9490.05,288284777,10242706716.5,243773
Tadawul All Share Index (TASI),02-18-2008,-,-,-,9649.01,386217473,11858645324.25,250619
Tadawul All Share Index (TASI),02-19-2008,-,-,-,9740.29,286408543,10722263670.75,218923
Tadawul All Share Index (TASI),02-20-2008,-,-,-,9972.38,295510599,11190729427.25,212733
Tadawul All Share Index (TASI),02-23-2008,-,-,-,10194.21,355978563,12588800634.75,241952
Tadawul All Share Index (TASI),02-24-2008,-,-,-,10004.06,329042257,11121008880.25,234677
Tadawul All Share Index (TASI),02-25-2008,-,-,-,10210.5,342442806,11842621341,219931
Tadawul All Share Index (TASI),02-26-2008,-,-,-,10151.36,338804600,11909723159.25,220704
Tadawul All Share Index (TASI),02-27-2008,-,-,-,10146.16,275260462,9617522101.25,187201
Tadawul All Share Index (TASI),03-01-2008,-,-,-,10041.56,280716752,10032337943.75,185436
Tadawul All Share Index (TASI),03-02-2008,-,-,-,9760.42,271675095,9737171439.5,190827
Tadawul All Share Index (TASI),03-03-2008,-,-,-,9723.22,203523411,7328291164,164026
Tadawul All Share Index (TASI),03-04-2008,-,-,-,9902.52,202130714,7432551817.25,157570
Tadawul All Share Index (TASI),03-05-2008,-,-,-,9871.9,232185972,8576559123.5,176741
Tadawul All Share Index (TASI),03-08-2008,-,-,-,9797.84,180933127,6199659234.25,148428
Tadawul All Share Index (TASI),03-09-2008,-,-,-,9698.13,150608271,5342390211.75,141687
Tadawul All Share Index (TASI),03-10-2008,-,-,-,9600.38,214622262,6418376454.25,153034
Tadawul All Share Index (TASI),03-11-2008,-,-,-,9733.94,173924543,5954001553.5,141342
Tadawul All Share Index (TASI),03-12-2008,-,-,-,9735.98,256227678,9136119212,182533
